x,y,objet
50.3563,17.8572,carre
51.4787,17.8572,carre
50.3563,18.9797,carre
51.4787,18.9797,carre
52.6012,17.8572,carre
53.7237,17.8572,carre
54.8461,17.8572,carre
52.6012,18.9797,carre
53.7237,18.9797,carre
54.8461,18.9797,carre
55.9686,17.8572,carre
57.091,17.8572,carre
55.9686,18.9797,carre
57.091,18.9797,carre
58.2135,17.8572,carre
59.336,17.8572,carre
58.2135,18.9797,carre
59.336,18.9797,carre
60.4584,17.8572,carre
61.5809,17.8572,carre
60.4584,18.9797,carre
61.5809,18.9797,carre
62.7034,17.8572,carre
